id,National_Average_Unit_Cost,Total Costs,No. Data Submissions,
37,795,29397,13,"£2,172,764.02"
284,3677,1044259,34,"£132,572.67"
313,3632,1136862,41,"£169,001.24"
526,3151,1657404,51,"£37,952.49"
690,3035,2094251,52,"£41,521.47"
78,2627,204903,25,"£36,874.13"
47,1875,88102,18,"£47,659.92"
33,1759,58047,15,"£5,738.30"
33,2186,72135,14,"£82,173.76"
20,1419,28382,15,"£215,177.15"
9,1267,11403,7,"£179,103.58"
15,2068,31018,9,"£344,079.51"
50,2259,112959,15,"£319,451.59"
135,2055,277450,29,"£71,273.86"
67,2426,162523,23,"£92,112.27"
123,2216,272621,38,"£63,956.08"
185,2032,375863,50,"£28,135.37"
47,1680,78956,14,"£23,670.11"
41,2124,87104,22,"£839,289.96"
24,1709,41019,15,"£1,228,455.07"
4,719,2876,4,"£915,789.83"
549,3688,2024590,42,"£2,822,535.22"
636,3343,2125936,47,"£271,202.55"
528,2690,1420388,51,"£727,578.57"
926,2794,2587514,60,"£1,919,960.84"
144,5599,806313,29,"£105,971.95"
269,2438,655882,45,"£302,390.56"
445,2631,1171017,53,"£180,320.05"
35,1578,55221,19,"£184,099.63"
58,2172,125984,23,"£684,729.12"
160,3073,491734,25,"£90,288.30"
125,2463,307835,41,"£30,855.33"
234,2547,596045,51,"£26,472.96"
47,1731,81334,13,"£92,155.55"
16,1396,22338,11,£663.92
22,2287,50316,10,"£835,185.24"
39,1552,60516,12,"£274,523.39"
1,1593,1593,1,"£656,040.30"
284,3563,1011835,32,"£238,173.38"
201,2311,464479,37,"£1,057,514.54"
303,2172,658207,44,"£82,439.49"
148,2665,394389,39,"£165,123.56"
318,2569,817064,52,"£82,402.29"
54,1826,98615,18,"£101,950.62"
45,1754,78908,25,"£137,465.46"
79,1550,122415,29,"£3,346,324.81"
38,898,34123,16,"£6,699,106.97"
35,1501,52533,11,"£3,655,438.57"
138,20188,2785878,43,"£9,921,209.02"
211,15384,3245920,45,"£10,178,594.00"
129,14220,1834374,35,"£2,426,740.97"
"1,128",9591,10818328,81,"£974,409.89"
454,8092,3673677,79,"£2,355,740.19"
"2,267",5474,12409226,112,"£372,430.86"
"2,102",4670,9816527,111,"£4,790,193.04"
805,3507,2823483,111,"£809,731.59"
291,3355,976165,75,"£5,211,204.57"
631,2586,1631509,97,"£314,105.49"
124,2699,334722,42,"£222,494.54"
"1,088",4140,4503913,100,"£153,283.73"
121,4140,500953,56,"£103,719.14"
"1,893",2220,4202059,110,"£1,587,408.22"
92,2314,212922,53,"£294,825.22"
107,2424,259327,48,"£390,395.60"
91,1745,158772,53,"£1,518,633.12"
88,1210,106521,33,"£2,084,868.93"
477,2335,1113740,94,"£3,632,942.16"
203,1617,328161,71,"£685,901.15"
236,1454,343136,75,"£653,231.79"
382,3919,1497025,64,"£134,287.54"
376,3672,1380581,81,"£170,775.28"
649,3040,1972908,106,"£108,658.06"
300,2428,728398,84,"£1,025,008.78"
236,1738,410200,69,"£1,610,281.34"
41,2631,107884,29,"£5,181,569.62"
173,1483,256528,72,"£1,099,017.93"
111,1275,141560,44,"£4,392,342.29"
351,3990,1400493,67,"£1,504,734.49"
725,3178,2303808,103,"£1,510,101.17"
"2,163",2850,6164895,113,"£3,522,046.93"
335,2624,879088,90,"£1,638,039.66"
927,4667,4326264,101,"£445,708.28"
282,5632,1588182,77,"£429,523.89"
311,4631,1440146,84,"£40,240.43"
934,3156,2947571,100,"£228,418.55"
482,3392,1634952,91,"£508,316.90"
94,3387,318367,37,"£63,458.83"
265,1256,332720,84,"£40,951.65"
35,1685,58981,24,"£65,596.17"
243,1215,295287,71,£527.80
546,1211,661230,81,£260.08
28,1655,46334,20,"£21,016.19"
30,818,24545,19,"£82,664.70"
85,680,57834,32,"£663,731.71"
6,509,3057,2,"£137,640.72"
4,1559,6236,4,"£7,187,938.62"
98,1674,164012,25,"£12,156,215.86"
131,3208,420247,36,"£3,113,170.71"
20,3315,66300,16,"£3,889,611.43"
290,21864,6340620,16,"£1,394,384.13"
578,15305,8846184,16,"£1,919,563.47"
710,5224,3709054,93,"£731,402.26"
732,4372,3200220,95,"£402,750.64"
341,5102,1739799,81,"£211,457.92"
533,3443,1835349,88,"£235,212.58"
132,5606,740009,34,"£251,422.20"
214,2530,541372,69,"£127,248.73"
125,2432,303969,46,"£84,658.34"
62,2715,168318,33,"£8,612,440.69"
22,1606,35328,17,"£8,081,138.72"
165,1601,264153,61,"£18,330,153.93"
142,1255,178261,46,"£2,469,100.74"
"6,858",1913,13120295,118,"£656,105.35"
633,1835,1161706,89,"£551,501.46"
"9,282",1981,18387208,112,"£96,638.68"
"1,273",1644,2092888,104,"£3,210,075.92"
119,3978,473405,55,"£177,230.00"
163,2568,418523,43,"£1,840,695.76"
94,1169,109933,36,"£1,219,720.20"
"1,958",1638,3207078,101,"£1,722,835.32"
82,1737,142466,35,"£1,225,311.88"
881,2667,2349781,101,"£2,984,356.40"
504,2312,1165172,86,"£970,550.10"
875,2351,2056795,99,"£586,123.80"
608,2350,1428695,32,"£1,986,209.45"
"1,494",1570,2345966,111,"£430,294.38"
388,1606,623127,35,"£32,431.36"
319,1693,539928,27,"£9,720,631.60"
897,1685,1511417,99,"£7,587,378.18"
144,1603,230826,64,"£3,578,233.10"
9,1449,13041,8,"£948,960.21"
652,21051,13725065,56,"£530,717.56"
507,13863,7028369,55,"£890,304.93"
269,10500,2824633,47,"£1,269,334.99"
220,7402,1628482,57,"£1,067,849.45"
111,4938,548074,38,"£902,420.98"
242,4837,1170618,20,"£1,854,351.48"
268,6774,1815328,15,"£3,787,492.55"
