id,National_Average_Unit_Cost,Total Costs,No. Data Submissions,
146,3281,478980,37,"£5,049,520.82"
"2,001",4838,9681584,34,"£13,411,217.59"
"3,931",3751,14745402,35,"£828,769.65"
"1,299",3591,4664582,41,"£1,137,042.27"
"2,579",3178,8196895,41,"£1,395,644.31"
260,3067,797320,33,"£955,627.01"
381,2499,952134,34,"£662,325.45"
52,6076,315961,22,"£762,773.15"
216,4524,977213,54,"£2,076,996.65"
989,3637,3597265,75,"£5,475,185.36"
"2,194",2964,6503806,78,"£6,374,037.70"
62,4266,264485,28,"£5,716,558.32"
214,3696,791036,55,"£876,501.88"
"1,402",2889,4050631,77,"£49,447.33"
"3,115",2489,7753260,81,"£538,226.18"
185,4263,788605,55,"£1,405,829.06"
385,2425,933540,63,"£3,797,055.74"
504,2182,1099796,69,"£6,625,471.05"
399,2050,818026,67,"£7,255,856.50"
170,5457,927610,47,"£380,266.94"
260,4354,1131983,64,"£204,729.40"
725,3151,2284758,91,"£114,833.38"
"2,075",2492,5171729,113,"£178,160.56"
"2,572",2094,5385961,112,"£6,435,493.52"
"1,999",1916,3830409,112,"£195,417.90"
14,5152,72134,14,"£161,292.13"
62,5844,362336,32,"£2,337,858.79"
268,4821,1292162,59,"£12,023,769.21"
338,4094,1383680,60,"£9,790,425.84"
606,1805,1093815,71,"£466,628.68"
46,643,29599,13,"£1,081,827.97"
16,8869,141905,15,"£847,762.97"
20,4499,89970,12,"£5,421,625.33"
34,3579,121681,27,"£14,459,143.92"
51,3495,178235,33,"£19,271,849.83"
72,2441,175735,44,"£450,465.74"
102,3369,343640,46,"£1,622,139.36"
169,2590,437781,68,"£130,399.94"
389,1712,666120,94,"£283,131.20"
355,1223,434227,88,"£917,555.22"
28,12309,344649,21,"£1,378,247.73"
51,3647,185983,38,"£49,367.62"
88,6014,529234,56,"£351,227.44"
508,3134,1592141,104,"£631,833.25"
243,3011,731768,66,"£892,038.91"
332,1867,619882,92,"£1,284,841.68"
"1,068",1499,1601376,117,"£2,139,891.04"
"2,289",948,2170560,120,"£954,993.81"
27,6246,168643,24,"£785,370.71"
36,3043,109533,27,"£2,198,945.88"
13,3612,46958,12,"£5,598,243.28"
53,2155,114207,39,"£2,334,411.49"
230,2142,492748,88,"£40,269.40"
40,1718,68728,18,"£160,694.70"
234,1403,328229,69,"£111,712.57"
708,963,682083,111,"£522,791.32"
129,5583,720144,57,"£899,839.85"
205,1422,291509,44,"£1,048,635.36"
61,2162,131887,35,"£292,783.85"
337,2062,694728,81,"£890,486.36"
504,1614,813409,90,"£1,896,779.13"
243,3149,765326,94,"£2,302,454.40"
"1,969",741,1458695,125,"£155,184.87"
85,14330,1218014,46,"£125,694.73"
213,6358,1354163,89,"£155,042.39"
296,5804,1718085,91,"£224,514.07"
612,3760,2301064,120,"£217,077.76"
117,5205,609042,61,"£164,952.30"
549,4184,2296955,118,"£400,010.12"
818,3202,2619177,127,"£569,587.37"
"3,001",3374,10124705,138,"£497,985.84"
169,3878,655423,66,"£388,008.53"
"1,133",2685,3041805,121,"£329,571.40"
"2,723",1733,4718468,133,"£275,947.79"
"6,223",1218,7579700,137,"£1,440,219.64"
110,9650,1061465,61,"£376,236.54"
186,5735,1066668,92,"£570,002.00"
210,4188,879454,87,"£1,186,305.18"
264,6164,1627283,91,"£2,003,949.89"
400,3834,1533689,104,"£95,784.41"
731,3291,2405576,119,"£147,035.45"
382,4176,1595171,90,"£93,857.40"
"1,256",2926,3675132,119,"£95,397.70"
"1,783",2197,3917952,120,"£772,086.18"
"4,498",1907,8578880,133,"£78,768.42"
356,3481,1239069,65,"£249,689.81"
108,3380,365023,50,"£804,779.53"
156,3130,488274,50,"£207,794.68"
176,2587,455295,54,"£77,222.94"
57,3445,196351,19,"£559,327.86"
"1,622",1187,1924977,120,"£328,584.13"
82,2237,183396,20,"£219,793.34"
132,5320,702284,68,"£647,685.27"
359,2820,1012256,100,"£1,003,877.50"
843,2049,1726924,121,"£3,669,970.81"
306,1763,539538,92,"£2,243,160.90"
9,4984,44853,9,"£2,162,019.79"
25,4323,108085,20,"£2,173,960.38"
62,2895,179520,37,"£1,137,931.28"
268,2833,759291,61,"£705,504.73"
"1,603",1177,1887285,118,"£571,855.96"
574,2351,1349533,35,"£132,814.75"
195,1327,258813,58,"£635,358.37"
"1,093",1138,1244364,125,"£130,069.98"
"4,420",725,3205691,131,"£295,149.56"
"2,874",737,2118315,125,"£1,960,186.59"
875,1754,1534804,56,"£2,786,024.62"
723,1731,1251840,52,"£1,810,895.32"
"3,303",812,2682844,127,"£696,751.64"
"3,325",772,2566215,129,"£226,066.89"
"3,884",732,2841548,128,"£1,135,757.91"
680,933,634329,104,"£1,824,806.39"
"1,087",822,893412,117,"£435,643.33"
"2,290",700,1602028,126,"£1,995,790.53"
108,1200,129625,54,"£3,261,806.94"
314,2463,773306,60,"£7,423,583.65"
107,2173,232550,23,"£5,509,974.85"
454,925,419733,90,"£2,323,802.41"
"1,355",925,1253298,110,"£5,056,842.89"
204,892,181929,56,"£9,783,658.50"
40,813,32514,21,"£11,740,620.73"
195,865,168601,60,"£1,115,757.73"
55,741,40778,31,"£1,376,124.35"
671,2778,1864298,33,"£336,923.74"
250,991,247843,32,"£594,915.99"
55,2319,127563,13,"£433,225.41"
268,19261,5161850,53,"£383,864.44"
304,12962,3940551,57,"£2,941,561.60"
724,9807,7100377,84,"£3,177,237.72"
735,11519,8466182,91,"£2,269,295.87"
911,8108,7386503,90,"£1,221,390.04"
"2,248",6033,13562136,118,"£603,125.56"
39,8507,331762,14,"£934,195.96"
77,6596,507862,25,"£2,039,416.00"
62,8107,502631,41,"£895,324.91"
127,5973,758616,62,"£4,925,277.31"
455,5326,2423265,107,"£5,473,300.72"
"1,708",4309,7360250,120,"£9,690,127.04"
249,7378,1837133,24,"£12,674,402.37"
166,4763,790728,28,"£4,384,066.59"
118,7308,862400,19,"£8,521,074.51"
49,4977,243863,17,"£25,581,984.28"
499,623,311126,78,"£74,004,376.05"
"1,278",6336,8097602,42,"£3,965,099.67"
"2,166",5485,11880708,42,"£10,737,704.93"
"2,093",5308,11108745,53,"£29,616,606.71"
557,3801,2117225,55,"£4,100,445.80"
25,2225,55631,11,"£11,381,867.65"
235,17823,4188477,84,"£1,942,114.95"
410,12069,4948180,97,"£3,621,944.97"
376,9361,3519653,98,"£4,105,624.80"
38,21097,801687,16,"£1,068,009.00"
170,13768,2340522,75,"£741,806.77"
306,9100,2784495,98,"£451,273.57"
993,7322,7270409,129,"£445,984.28"
870,6217,5408560,126,"£547,195.21"
291,8697,2530867,101,"£493,279.75"
829,6569,5445754,125,"£1,159,663.15"
"1,886",5420,10221265,131,"£5,226,029.04"
"2,254",4602,10371824,131,"£4,024,864.72"
135,9229,1245957,33,"£7,722,234.17"
162,6429,1041515,40,"£6,917,457.55"
46,10648,489804,18,"£6,146,616.81"
90,7111,640014,21,"£13,076,184.15"
47,6603,310348,20,"£240,228.19"
359,20071,7205347,104,"£535,628.23"
420,15706,6596486,117,"£1,290,554.38"
992,12961,12857702,129,"£834,595.96"
"1,557",10727,16701767,133,"£521,742.37"
372,14651,5450089,111,"£389,068.44"
839,11377,9545011,130,"£436,406.20"
"2,967",9703,28788328,133,"£787,415.84"
"9,087",8367,76035021,133,"£2,212,364.69"
655,9087,5951983,121,"£8,837,564.34"
"1,896",7601,14411431,131,"£14,969,680.66"
"4,653",6823,31748796,131,"£7,466,230.82"
727,7554,5491688,125,"£245,808.15"
"2,228",6204,13823433,129,"£2,085,156.92"
322,6102,1964925,105,"£3,571,353.39"
719,5002,3596643,126,"£7,252,593.72"
796,4415,3514736,119,"£2,272,186.79"
140,10614,1485944,35,"£649,141.34"
74,8224,608590,29,"£822,106.14"
96,10777,1034570,19,"£1,402,367.15"
62,9203,570590,20,"£1,185,567.77"
"1,466",1936,2838211,130,"£1,214,943.98"
30,8774,263210,22,"£1,244,029.58"
86,3959,340486,56,"£2,796,440.46"
399,3491,1392910,105,"£581,771.68"
554,3029,1677928,119,"£1,863,227.97"
22,5554,122187,14,"£2,861,788.59"
91,3668,333761,35,"£11,021,643.33"
164,3357,550615,57,"£733,355.76"
449,3018,1354861,116,"£2,652,225.90"
808,2320,1874925,114,"£4,713,957.62"
184,4744,872969,56,"£7,690,280.41"
356,3444,1225917,107,"£860,179.00"
"1,088",1916,2084944,124,"£1,183,464.79"
"2,747",1678,4609324,130,"£1,041,376.15"
329,2544,837116,82,"£1,533,433.93"
991,1564,1550137,126,"£1,621,587.13"
318,1390,442117,100,"£2,727,786.65"
48,3195,153356,14,"£1,308,399.37"
27,2019,54526,14,"£3,880,888.05"
69,17915,1236105,45,"£4,511,859.84"
107,8776,939015,62,"£10,049,723.24"
216,7083,1529997,70,"£1,702,163.04"
61,11864,723702,41,"£1,119,368.46"
179,8777,1571156,76,"£197,751.31"
625,6411,4006849,122,"£51,527.15"
"1,413",5172,7307423,132,"£260,639.67"
"1,471",4213,6197310,124,"£154,598.24"
55,10367,570189,17,"£674,031.29"
34,5559,189016,22,"£398,625.21"
20,9603,192065,11,"£141,433.10"
20,5561,111215,10,"£225,861.87"
225,5088,1144907,101,"£457,197.86"
401,3610,1447447,116,"£1,003,296.81"
426,2839,1209472,118,"£4,350,481.61"
57,5195,296136,27,"£6,036,275.89"
"3,674",1332,4895369,133,"£5,602,624.13"
51,2162,110251,29,"£6,947,241.01"
410,7506,3077352,114,"£2,823,914.79"
732,5822,4261907,127,"£5,934,142.49"
"1,703",4826,8218927,135,"£4,834,223.76"
647,4208,2722823,128,"£10,139,443.18"
520,5878,3056589,114,"£2,068,701.65"
"2,587",4246,10984728,134,"£2,009,021.97"
"2,057",3812,7842000,133,"£2,199,863.71"
65,2789,181274,22,"£3,386,980.26"
366,3604,1319133,116,"£3,553,607.22"
"2,233",2940,6564761,129,"£952,411.33"
"5,190",2761,14327016,131,"£3,360,032.36"
"6,308",2692,16983742,130,"£22,231,314.02"
216,2178,470460,58,"£38,778,646.49"
479,2668,1277793,32,"£1,990,717.78"
222,2031,450978,50,"£2,973,565.54"
739,2225,1643982,40,"£3,325,667.67"
260,26556,6904574,90,"£362,160.39"
337,15160,5108809,89,"£772,418.65"
14,25751,360508,10,"£865,670.09"
509,17529,8922121,28,"£598,317.87"
420,12643,5309954,29,"£373,979.23"
609,11465,6981911,27,"£954,253.30"
313,12330,3859152,32,"£1,096,765.93"
639,8972,5733393,42,"£791,660.71"
689,9413,6485826,82,"£877,943.69"
"1,619",7237,11717115,87,"£2,326,158.34"
325,7703,2503367,98,"£4,569,170.39"
330,5672,1871692,97,"£570,431.70"
381,6288,2395773,105,"£783,906.23"
774,5156,3991031,124,"£713,381.70"
759,4582,3477871,121,"£66,391.02"
232,4485,1040520,67,"£683,990.51"
"1,237",4404,5447782,128,"£189,964.92"
"7,601",3405,25878699,130,"£200,587.48"
"10,699",3160,33806945,130,"£137,612.97"
325,6844,2224193,93,"£201,809.03"
409,5288,2162716,101,"£77,364.87"
436,4273,1862815,101,"£56,001.34"
13,12851,167069,11,"£767,908.38"
247,3393,838135,66,"£488,018.16"
182,3212,584578,61,"£547,712.99"
7,43387,303712,5,"£389,134.74"
220,17552,3861513,6,"£1,023,944.36"
12,34748,416982,3,"£1,881,151.33"
13,31292,406794,3,"£3,088,507.44"
10,14196,141965,2,"£1,936,962.37"
136,3777,513727,58,"£697,052.32"
361,2702,975456,92,"£932,364.91"
540,2009,1085094,89,"£634,142.31"
322,3499,1126646,92,"£491,393.18"
437,2126,929088,98,"£1,350,799.81"
"1,135",1890,2144844,120,"£1,712,615.43"
"1,895",1730,3278932,117,"£1,195,658.66"
174,5738,998384,57,"£1,650,242.06"
323,3047,984103,70,"£3,316,738.35"
316,2579,815043,70,"£3,449,750.08"
47,1514,71166,28,"£20,386.45"
404,1515,611974,91,"£87,766.07"
249,1204,299759,38,"£53,774.09"
254,1053,267453,38,"£310,943.02"
22,7571,166563,18,"£251,377.34"
66,2794,184377,32,"£76,732.49"
55,2810,154577,24,"£103,955.74"
57,1905,108586,26,"£190,645.97"
122,6269,764859,59,"£15,240.11"
128,5063,648018,57,"£564,171.01"
151,3520,531482,55,"£475,344.29"
123,3022,371685,49,"£429,633.51"
468,3124,1461913,81,"£308,747.67"
"1,176",2030,2387211,102,"£716,457.00"
"1,940",1531,2969203,102,"£105,576.51"
"1,006",1879,1890623,68,"£241,795.19"
71,7785,552738,35,"£1,134,907.23"
138,5323,734585,58,"£4,093,462.78"
94,3492,328228,44,"£1,838,905.45"
128,4635,593254,50,"£402,701.20"
405,3407,1379702,92,"£521,218.22"
480,2930,1406287,104,"£579,711.12"
493,2868,1413721,82,"£949,371.92"
916,2059,1885906,110,"£97,788.36"
"2,414",1419,3424811,125,"£138,474.70"
"3,255",1090,3547564,128,"£324,147.29"
14,2733,38267,8,"£134,533.61"
64,915,58570,37,"£224,000.96"
8,8486,67885,8,"£267,943.23"
35,5495,192322,16,"£4,398.25"
38,3121,118582,20,"£102,814.57"
44,2448,107721,26,"£171,843.65"
25,1959,48964,13,"£101,162.41"
23,12501,287514,12,"£329,005.64"
5,1924,9622,2,"£30,845.18"
117,4269,499504,33,"£93,184.51"
148,2301,340568,39,"£650,953.36"
100,2394,239437,32,"£690,756.72"
49,5764,282420,32,"£773,461.51"
117,2881,337087,57,"£1,078,399.75"
24,3498,83952,17,"£3,312,855.48"
103,2368,243911,41,"£5,850,374.19"
369,2220,819217,83,"£2,929,622.81"
"1,139",1860,2118315,112,"£17,146,534.34"
167,13684,2285301,35,"£831,402.70"
63,12504,787732,29,"£1,135,230.65"
95,8870,842685,34,"£1,403,807.01"
157,5677,891260,44,"£2,427,280.32"
254,5783,1468879,53,"£2,155,974.46"
52,2372,123330,23,"£3,073,195.49"
95,1903,180765,33,"£5,741,287.59"
55,4387,241279,14,"£3,627,387.36"
56,3812,213488,19,"£4,601,200.33"
14,12894,180519,12,"£10,792,177.97"
31,8158,252904,23,"£2,377,466.56"
7,7937,55556,6,"£4,504,940.28"
22,3161,69549,10,"£12,721,385.04"
40,1847,73886,18,"£3,054,163.24"
57,1418,80844,24,"£4,719,333.87"
77,2405,185153,40,"£9,722,711.52"
17,1583,26906,12,"£3,401,164.09"
49,1578,77335,29,"£6,796,452.17"
267,1393,372010,79,"£14,229,851.61"
56,27601,1545677,20,"£3,594,843.49"
29,30912,896440,6,"£7,505,688.95"
30,37941,1138234,11,"£17,404,626.14"
89,23371,2080008,24,"£4,287,951.49"
252,18276,4605542,27,"£10,912,596.39"
192,22323,4286006,20,"£34,435,273.46"
"1,112",17735,19721550,28,"£723,561.32"
36,29641,1067064,18,"£2,070,711.72"
78,16727,1304743,31,"£3,169,281.14"
128,13912,1780748,36,"£2,539,093.92"
117,12993,1520197,43,"£558,864.17"
194,18685,3624930,49,"£253,711.83"
243,14254,3463651,53,"£212,945.05"
340,12782,4345784,60,"£124,297.53"
329,14654,4821162,51,"£197,406.05"
553,11109,6143458,62,"£502,351.71"
984,10628,10457562,63,"£883,859.55"
285,14519,4137971,58,"£1,357,908.24"
494,9735,4808856,64,"£291,997.67"
"1,014",9244,9373783,74,"£366,069.38"
306,11401,3488800,56,"£449,993.59"
561,8692,4876349,63,"£921,533.82"
999,7554,7546650,67,"£1,271,045.34"
575,8567,4926136,67,"£1,715,656.24"
"1,097",6938,7611527,75,"£940,983.10"
"1,877",6394,12001047,76,"£2,348,469.45"
"1,080",6835,7381752,69,"£3,310,966.40"
"2,269",5647,12813885,73,"£5,374,833.28"
"3,784",5010,18958790,80,"£4,553,770.74"
955,5952,5684585,70,"£299,382.07"
"2,102",5022,10556257,75,"£633,117.30"
"5,177",4313,22327225,77,"£761,125.71"
241,2713,653801,57,"£771,101.43"
450,8871,3991910,57,"£487,800.85"
453,7678,3478142,60,"£44,412.01"
536,7042,3774744,42,"£139,458.79"
638,815,519811,73,"£420,648.59"
127,1327,168475,48,"£887,895.43"
97,1545,149900,33,"£131,517.61"
87,4082,355126,38,"£92,987.47"
131,2480,324891,61,"£86,873.81"
279,1835,512085,92,"£186,708.61"
569,1457,829113,110,"£95,109.45"
987,1109,1094201,114,"£571,516.38"
125,4852,606445,43,"£1,255,712.79"
149,3811,567774,52,"£1,520,516.15"
190,2854,542179,57,"£3,038,827.32"
307,1910,586477,79,"£1,793,913.98"
554,1621,897884,92,"£91,871.71"
"1,153",1187,1368423,98,"£80,934.86"
458,3573,1636231,92,"£166,545.32"
969,2826,2738331,120,"£90,981.34"
"1,163",2577,2996527,126,"£64,202.26"
"1,529",2412,3687194,130,"£372,698.99"
882,2199,1939119,116,"£856,698.78"
174,4636,806674,62,"£1,283,734.47"
133,4394,584372,53,"£98,639.28"
173,4043,699470,62,"£109,597.36"
139,3240,450315,57,"£16,848.07"
107,1943,207953,39,"£37,465.45"
36,3253,117123,24,"£55,954.23"
69,2694,185884,41,"£56,403.45"
194,2300,446130,79,"£29,844.29"
262,2065,541140,85,"£53,739.32"
32,5578,178501,23,"£172,207.05"
20,2095,41898,11,"£79,996.76"
26,2373,61699,20,"£162,480.13"
58,1608,93256,34,"£306,731.57"
31,1554,48178,25,"£32,996.78"
181,6750,1221723,57,"£92,031.83"
395,3605,1424078,79,"£140,282.90"
550,2801,1540430,91,£927.43
884,2515,2223215,81,"£23,378.34"
543,2395,1300442,66,"£156,513.79"
2,5291,10581,2,"£6,216.53"
1,2521,2521,1,"£21,267.77"
4,5577,22309,3,"£55,959.52"
7,9734,68141,7,"£90,316.59"
23,3256,74882,7,"£43,550.35"
44,2965,130454,19,"£10,530.19"
79,3317,262042,40,"£216,221.95"
96,3366,323090,46,"£37,232.93"
18,3830,68940,15,"£44,715.91"
24,3336,80066,17,"£71,123.95"
10,2601,26008,6,"£273,024.07"
9,3066,27597,7,"£35,608.95"
40,1422,56886,31,"£104,332.06"
2,6102,12204,2,"£11,013.33"
2,7394,14788,2,"£5,574.54"
4,6556,26226,4,"£21,390.68"
14,4752,66524,13,"£39,078.70"
56,3191,178693,20,"£7,755.10"
45,3391,152598,29,"£23,902.71"
196,1780,348940,68,"£120,639.76"
5,4937,24684,5,"£105,755.93"
21,3718,78082,12,"£501,383.60"
27,4002,108052,21,"£7,549.93"
3,3048,9143,3,"£16,020.18"
10,3847,38466,10,"£92,628.07"
34,3380,114929,30,"£31,559.22"
3,2573,7720,3,"£24,688.97"
12,1054,12647,8,"£207,681.04"
30,1162,34846,22,"£32,295.45"
96,1128,108247,49,"£112,925.00"
4,8023,32093,4,"£106,804.23"
5,12569,62843,5,"£289,285.38"
6,3875,23249,6,"£829,604.97"
5,9018,45090,4,"£51,079.98"
16,3235,51758,13,"£181,586.32"
25,2089,52236,20,"£4,904.69"
171,1532,261985,65,"£20,043.42"
16,4270,68318,15,"£32,809.81"
39,3141,122484,26,"£85,373.35"
3,1050,3151,3,"£10,229.69"
8,390,3119,6,"£8,706.93"
27,948,25590,22,"£12,700.91"
17,2252,38279,13,"£24,354.51"
10,947,9469,7,"£69,497.39"
13,821,10667,11,"£1,607.90"
61,826,50360,35,"£12,862.04"
19,2885,54812,15,"£1,596.48"
166,2123,352389,50,"£11,107.37"
5,1179,5897,3,"£842,478.99"
16,846,13539,12,"£1,028,924.67"
110,696,76568,37,"£1,253,992.55"
1,2093,2093,1,"£366,769.46"
5,2602,13010,4,"£663,046.58"
18,3309,59558,16,"£1,063,433.10"
17,4542,77209,12,"£1,327,318.20"
22,1859,40896,14,"£7,187.76"
40,2416,96654,23,"£42,372.10"
114,1666,189967,58,"£47,493.59"
452,1462,660872,92,"£2,994,642.50"
22,4202,92441,19,"£5,190,077.99"
50,3201,160075,31,"£13,866,560.47"
5,1850,9248,3,"£37,509,921.54"
7,649,4542,5,"£94,931,501.38"
14,1234,17273,13,"£157,579,180.76"
66,1036,68361,34,"£217,708.52"
5,5248,26241,4,"£588,716.51"
6,5264,31587,4,"£908,059.99"
10,1974,19737,5,"£1,876,576.85"
21,1435,30145,12,"£1,797,151.94"
19,3039,57750,15,"£4,666,001.18"
1,2326,2326,1,"£1,591,088.41"
8,1523,12184,5,"£3,100,310.20"
10,1412,14121,9,"£959,163.48"
11,903,9928,7,"£836,504.41"
135,6828,921825,54,"£1,875,742.99"
180,5536,996566,76,"£2,628,636.58"
252,3953,996090,73,"£5,378,995.65"
91,3327,302770,43,"£825,791.48"
152,3318,504383,66,"£2,292,575.09"
261,2983,778601,100,"£705,609.81"
329,3005,988711,93,"£2,003,608.31"
9,5106,45958,4,"£471,825.20"
6,2168,13006,3,"£584,141.35"
10,2197,21969,6,"£26,285.72"
470,10412,4893562,109,"£78,347.95"
922,8416,7759102,122,"£8,414,291.20"
"2,581",7618,19662447,132,"£16,449,065.72"
"6,574",7052,46359483,133,"£47,090,423.73"
"15,836",6519,103231628,134,"£124,190,853.38"
"23,280",6040,140604822,134,"£168,874,369.80"
18,18480,332643,14,"£1,896,106.71"
90,12287,1105867,52,"£4,221,378.25"
144,10044,1446348,60,"£26,246,051.90"
311,9281,2886422,90,"£1,707,496.89"
353,6095,2151501,88,"£6,051,146.87"
640,5576,3568899,94,"£2,005,510.91"
251,7578,1902123,45,"£3,850,010.54"
378,6645,2511959,62,"£16,341,229.38"
116,10063,1167366,61,"£904,716.07"
176,8139,1432425,84,"£3,761,294.94"
488,5418,2644133,111,"£526,061.36"
507,4268,2164039,113,"£3,583,411.50"
921,4007,3690489,127,"£662,724.67"
187,4782,894179,39,"£141,698.53"
405,4237,1715938,77,"£29,739.09"
161,4186,673990,39,"£13,654.29"
746,2331,1738566,105,"£2,289,114.82"
160,2755,440724,47,"£5,383,091.23"
466,947,441249,85,"£15,544,110.05"
32,1940,62091,17,"£2,649,523.89"
36,1326,47734,12,"£6,201,961.52"
"1,522",9145,13919256,122,"£17,599,807.62"
"3,124",7502,23435871,130,"£2,254,007.39"
"8,327",6841,56968987,132,"£1,756,088.44"
"20,743",6334,131381869,134,"£3,099,486.38"
"24,582",5882,144588288,138,"£10,082,025.59"
481,8449,4063793,113,"£2,129,171.41"
"1,050",5549,5826783,130,"£2,964,795.18"
"5,684",4274,24294429,132,"£383,548.79"
362,5291,1915210,74,"£236,876.68"
"1,241",4600,5709106,127,"£1,274,916.39"
377,4270,1609918,109,"£3,269,493.06"
978,3420,3344309,129,"£1,913,850.34"
"3,945",2987,11784421,134,"£5,549,478.33"
240,4231,1015436,57,"£930,046.32"
898,3647,3274665,112,"£2,049,173.05"
84,3590,301549,33,"£4,618,836.42"
"1,516",2135,3236578,127,"£988,926.02"
279,2724,760029,69,"£401,479.85"
159,900,143026,51,"£2,583,370.05"
84,575,48299,16,"£182,909.55"
14,1137,15916,8,"£105,855.26"
525,7313,3839076,117,"£74,222.83"
"1,296",5917,7668362,127,"£6,156,426.01"
"3,421",5110,17480845,135,"£11,719,812.23"
726,6034,4380880,122,"£19,889,070.96"
"1,597",4984,7959468,130,"£1,504,772.56"
"4,007",4404,17647814,131,"£4,586,898.18"
748,4037,3019696,91,"£17,631,320.57"
588,4261,2505256,121,"£937,791.59"
968,3307,3201640,127,"£2,243,152.61"
"2,511",3020,7584178,136,"£7,686,269.07"
747,3021,2256934,104,"£434,478.48"
852,2250,1916604,123,"£2,976,241.41"
177,2457,434873,56,"£75,973.49"
553,418,231114,59,"£1,565,876.55"
335,5130,1718440,98,"£2,281,577.91"
664,4534,3010683,112,"£818,110.91"
566,4004,2266368,117,"£2,477,186.07"
"1,272",3610,4592504,128,"£827,688.96"
191,4265,814576,58,"£2,164,439.17"
659,2965,1953849,114,"£1,498,058.90"
"1,213",2713,3290725,125,"£456,021.12"
212,2665,565049,78,"£1,364,827.55"
77,2410,185564,37,"£59,160.43"
"1,056",1741,1839008,122,"£1,697,439.24"
66,2137,141032,35,"£3,524,280.78"
39,1873,73048,25,"£8,103,257.38"
93,688,63939,34,"£8,990,262.27"
"1,310",7410,9707173,129,"£2,675,571.68"
"2,212",6442,14250165,134,"£7,428,933.03"
"3,341",5932,19817167,133,"£14,321,434.51"
488,5643,2754017,119,"£34,482,329.16"
"1,106",4285,4738956,127,"£48,398,171.06"
"3,269",3997,13067590,135,"£990,884.96"
230,3498,804499,95,"£4,782,551.06"
509,3389,1724913,115,"£6,116,096.12"
"1,388",3273,4542769,126,"£1,952,695.19"
145,3950,572692,50,"£34,868.03"
556,2599,1445229,116,"£120,314.62"
58,1328,76998,34,"£401,661.50"
223,8472,1889218,78,"£518,376.03"
337,6251,2106563,89,"£707,171.77"
184,6323,1163405,76,"£31,509.34"
508,4480,2276063,108,"£206,695.69"
318,3906,1242037,109,"£247,668.02"
535,3339,1786478,110,"£441,694.32"
327,2314,756612,90,"£939,747.29"
108,1571,169673,47,"£26,525.20"
577,2255,1301314,118,"£156,148.28"
55,514,28290,15,"£569,251.58"
87,21078,1833754,47,"£128,624.28"
210,18665,3919664,64,"£55,147.12"
517,14735,7617752,101,"£113,515.94"
547,12144,6642987,109,"£1,038,295.75"
229,17187,3935868,93,"£202,049.33"
738,11749,8670878,123,"£278,010.10"
"1,408",10384,14621004,130,"£707,885.59"
"3,092",9499,29371565,135,"£3,562,320.90"
"3,884",8575,33305514,137,"£1,126,638.27"
124,11200,1388789,42,"£305,711.69"
689,8019,5525184,120,"£419,645.67"
807,6661,5375830,122,"£1,913,239.87"
424,19634,8324851,23,"£520,308.01"
774,4100,3173026,123,"£380,389.46"
7,10389,72721,5,"£100,439.97"
11,7465,82116,10,"£170,663.87"
22,9157,201454,20,"£1,573,903.30"
41,9367,384037,32,"£285,739.49"
97,6938,672970,57,"£796,139.79"
2,17469,34938,2,"£1,180,535.19"
6,6219,37315,5,"£4,769,330.97"
11,7592,83507,11,"£699,340.77"
21,5391,113215,15,"£60,278.11"
137,5986,820030,77,"£190,195.11"
26,5528,143723,24,"£370,653.14"
60,3715,222920,42,"£1,578,598.34"
211,3758,792834,83,"£347,739.45"
48,2891,138784,34,"£167,276.50"
8,9080,72640,8,"£657,951.62"
20,8314,166287,17,"£2,586,585.59"
297,5541,1645778,81,"£264,085.54"
29,6249,181221,23,"£1,414,543.68"
105,5301,556575,64,"£11,726,634.67"
235,4850,1139709,78,"£1,281,005.46"
981,4427,4342554,125,"£90,933.65"
292,4493,1311984,98,"£97,086.68"
72,5584,402073,50,"£289,986.11"
91,4041,367767,50,"£3,781,590.81"
349,3493,1219101,96,"£1,280,202.00"
139,3695,513592,73,"£122,690.30"
60,3113,186797,44,"£434,813.34"
28,6621,185384,22,"£325,677.98"
79,4365,344841,47,"£928,164.96"
626,4422,2768243,101,"£2,186,748.88"
48,7973,382703,33,"£375,156.93"
157,4342,681617,71,"£1,338,690.64"
418,4203,1756774,99,"£1,986,225.14"
"1,223",3905,4775873,119,"£6,114,187.64"
205,3450,707161,88,"£506,325.10"
30,4034,121021,23,"£81,344.49"
96,3437,329925,52,"£191,036.23"
188,3420,642872,81,"£440,704.74"
658,3276,2155781,116,"£1,606,151.42"
135,3351,452419,79,"£429,613.10"
87,2554,222206,53,"£543,615.06"
182,3515,639714,70,"£1,602,025.03"
788,3525,2777508,112,"£192,868.34"
116,3589,416301,63,"£592,555.75"
419,3220,1349182,102,"£908,654.94"
"2,876",3000,8626927,126,"£3,088,024.36"
427,2653,1132991,96,"£1,030,087.40"
25,2036,50900,19,"£228,908.76"
33,2637,87007,27,"£367,614.73"
110,2901,319081,55,"£729,542.23"
"1,072",2325,2492668,112,"£587,421.81"
515,1773,912993,100,"£253,534.64"
50,1564,78213,35,"£171,366.96"
117,2066,241728,47,"£57,215.41"
101,7525,760063,58,"£92,691.63"
186,6942,1291244,83,"£450,270.39"
496,5462,2709138,114,"£733,511.37"
98,5412,530351,64,"£177,717.28"
289,5383,1555725,99,"£265,674.06"
448,4569,2046899,112,"£471,318.47"
"1,392",4266,5938251,122,"£202,553.73"
