"","H","S1","S2","D","Total discounted cost","Cumulative cost"
"0",2000,0,0,0,1000,1000
"1",1697.97302784856,750,0,2.0269721514421,2378.64077669903,3378.64077669903
"2",1591.58164562377,871.944377356017,236.25,2.59318209110403,2547.24215766885,5925.88293436788
"3",1537.29141726227,888.572372866112,526.920433629217,3.23049595579213,2705.17221567088,8631.05515003876
"4",1497.3285141424,877.815474537693,824.097802014642,3.68181960246176,2845.75614321242,11476.8112932512
"5",1461.62000633635,860.039534865034,1114.81891326931,4.33505394142942,2968.075957784,14444.8872510352
"6",1427.60726380965,840.85150122059,1396.30717926009,4.73592150743137,3073.15004247691,17518.0372935121
"7",1394.54303665754,821.53246397401,1667.39409603254,5.3033456943119,3161.92826897334,20679.9655624854
"8",1362.18065301538,802.408607626038,1927.35869406691,6.02245689336361,3234.97568486365,23914.9412473491
"9",1330.496168641,783.674976261965,2176.64130680361,6.60002897160514,3293.60883097409,27208.5500783232
"10",1299.47142509282,765.327632587887,2415.26243411577,7.19409691289591,3338.93957814496,30547.4896564681
"11",1269.0918763974,747.361078511525,2643.26460614271,7.79910824695039,3371.91335078069,33919.4030072488
"12",1239.31373650537,729.721665604213,2860.0703363553,8.55118257460092,3393.03523169338,37312.4382389422
"13",1210.13217141333,712.442101858968,3065.93108021422,9.25656753751976,3403.2326770882,40715.6709160304
"14",1181.53174427025,695.503488495768,3260.70940724418,10.0049815297361,3403.26893469611,44118.9398507265
"15",1153.53169957959,678.949395660215,3445.24241120391,10.6001745626062,3394.37373635489,47513.3135870814
"16",1126.07211274341,662.670671044409,3618.02093877409,11.5118104588292,3376.49017976376,50889.8037668452
"17",1099.06049061819,646.58039733476,3776.71782316844,12.8674398877719,3348.90285283059,54238.7066196758
"18",1072.47970444576,630.737242573469,3921.34600893364,14.2056696213493,3312.18228425817,57550.8889039339
"19",1046.35670707884,615.198640554397,4052.95046546077,15.3482580247048,3267.65571243042,60818.5446163643
"20",1020.59084095358,599.786517551973,4167.59826705961,17.2059416786997,3214.18828243236,64032.7328987967
"21",995.221302790064,584.652150086948,4267.56815337687,18.6411837407005,3153.3085561842,67186.0414549809
"22",970.17539756072,569.649773394583,4349.51061651271,20.6700741429504,3084.38773934688,70270.4291943278
"23",945.47272014552,554.875069347086,4414.90191020388,22.431968834025,3008.57430624667,73279.0035005745
"24",921.018698819396,540.166949323459,4459.32683595299,24.9584075016542,2924.77771000135,76203.7812105758
"25",896.767533903131,525.541676033607,4481.60094587629,27.6768944383542,2832.9590097604,79036.7402203362
"26",872.712898950035,511.031763896341,4481.94962220798,30.3536821598099,2733.96635512172,81770.7065754579
"27",848.839816742907,496.620586432303,4459.89713801188,33.1169533545523,2628.41731980888,84399.1238952668
"28",825.152259137552,482.327771575574,4416.18962213533,35.7663932344937,2517.31560711464,86916.4395023814
"29",801.631349527269,468.121451190341,4350.39562113017,38.508319860053,2401.23040385592,89317.6699062374
"30",778.304618661023,454.060058759086,4264.95933531566,40.8668977467566,2281.66132679014,91599.3312330275
"31",755.191798160909,440.148630986346,4161.55128935704,42.9815214401478,2159.87988147706,93759.2111145046
"32",732.257842963716,426.317091710885,4039.2692083205,45.2872715377088,2036.10210311002,95795.3132176146
"33",709.443519354546,412.508389279646,3896.90313708157,47.8407943367519,1910.27731592242,97705.590533537
"34",686.845249729337,398.919011063801,3741.87481841772,49.2078640862999,1785.1449504194,99490.7354839564
"35",664.488553455485,385.501453394486,3575.90105545544,50.3478750592025,1661.85768252452,101152.593166481
"36",642.37584173691,372.236821947712,3400.48511213772,51.2954437740542,1541.05048381409,102693.643650295
"37",620.440218330918,359.024301281344,3214.1252211673,52.5606425124545,1422.38792611905,104116.031576414
"38",598.632188771167,345.850017867682,3017.42494502213,53.7992888748796,1306.01275473074,105422.044331145
"39",576.8904252203,332.66759740926,2810.60828870155,55.0907268476634,1192.05079685516,106614.095128
"40",555.510441566857,319.962606437556,2610.13702652005,53.6466646303376,1084.9833646427,107699.078492643
"41",534.365559751859,307.293826339731,2408.54329118708,53.5566871879695,983.291294609486,108682.369787252
"42",513.403874884359,294.69689181799,2207.0184578359,53.3371968404648,886.65878649256,109569.028573745
"43",492.556325311141,282.116420206931,2005.56216091329,53.2125617858975,794.903671598875,110363.932245344
"44",471.88739723574,269.704646152169,1809.53555729767,52.2299124758691,709.081126285921,111073.013371629
"45",451.183024857602,257.100347726918,1613.11011746266,52.4214954326048,627.728367831921,111700.741739461
"46",430.548361389784,244.63672314597,1424.50611448444,51.2372621912073,552.221904950222,112252.963644412
"47",409.732278565672,231.869846429032,1238.0650337354,51.2845320690763,481.306633679661,112734.270278091
"48",388.884058185484,219.223010331043,1063.0851889904,49.7216812892784,416.459109725016,113150.729387816
"49",368.106139220835,206.712086525185,902.871345517945,47.6134183996475,358.37038308975,113509.099770906
"50",347.554267026496,194.470692649577,760.749909250304,44.8429220066546,307.401158962452,113816.500929869
"51",326.963867347142,182.016059132118,630.933298218566,43.3559027016947,262.050548792694,114078.551478661
"52",306.479010011487,169.761507015113,517.673016763325,40.9413642668801,222.507049488039,114301.058528149
"53",285.985276507127,157.437671931406,418.421166249944,39.1210489645765,188.076740552028,114489.135268701
"54",265.696234267355,145.422086442494,335.561861889028,36.576227225937,158.742722210895,114647.877990912
"55",245.500921179541,133.407177991265,265.805541168859,34.7427709921266,133.694715744339,114781.572706657
"56",225.370021957964,121.45430325949,207.96738383052,33.06176665845,112.301228411391,114893.873935068
"57",205.534315933614,109.874139881437,162.086898689745,30.9882770113369,94.3094406400488,114988.183375708
