"","A","B","C","D","Total discounted utility","Cumulative utility"
"0",1,0,0,0,1,1
"1",0.721453287197232,0.201845444059977,0.0668973471741638,0,0.990196078431373,1.99019607843137
"2",0.520494845607692,0.262910627968518,0.180596016667749,0,0.964001490243959,2.95419756867533
"3",0.375512717332885,0.257831905170266,0.277295922709131,0,0.910640545212282,3.86483811388761
"4",0.270914884304175,0.225616773373758,0.338068738685549,0,0.834600396363481,4.69943851025109
"5",0.195452433831905,0.185784573706882,0.36354831492091,0,0.744785322459696,5.44422383271079
"6",0.141009800878727,0.147407084237187,0.361401886084467,0,0.649818771200381,6.09404260391117
"7",0.101731984370985,0.11411765374273,0.340530234757705,0,0.55637987287142,6.65042247678259
"8",0.0733948745375445,0.0868457471677261,0.308697291728089,0,0.46893791343336,7.11936039021595
"9",0.0529509734985399,0.0652788416942735,0.271822820914714,0,0.390052636107527,7.50941302632348
"10",0.0382016538908151,0.04862021266265,0.234016426600984,0,0.320838293154449,7.83025131947793
"11",0.0275607087758995,0.0359631155298219,0.197889553946881,0,0.261413378252603,8.09166469773053
"12",0.0198837639438583,0.0264604895525918,0.164926006358716,0,0.211270259855166,8.3029349575857
"13",0.0143452068591504,0.0193891370379866,0.135817543203067,0,0.169551887100204,8.4724868446859
"14",0.0103493966440583,0.0141621753598799,0.110733513583949,0,0.135245085587887,8.60773193027379
"15",0.00746660622936386,0.0103183507299516,0.0895222483116349,0,0.10730720527095,8.71503913554474
"16",0.00538680760838189,0.007502898847121,0.0718534981215684,0,0.0847432045770713,8.79978234012181
"17",0.00388633005656617,0.00544709514710657,0.057314401430193,0,0.0666478266338658,8.86643016675568
"18",0.00280380559444307,0.00394964195286343,0.0454709204417932,0,0.0522243679890997,8.91865453474477
"19",0.00202281476277294,0.00286099760112128,0.0359047424845122,0,0.0407885548484064,8.95944308959318
"20",0.00145936635999363,0.00207076752307292,0.0282334223646388,0,0.0317635562477053,8.99120664584089
