"","H","S1","S2","D","Total discounted utility","Cumulative utility"
"0",1,0,0,0,0.5,0.5
"1",0.848986513924279,0.111,0,0,0.932025741674057,1.43202574167406
"2",0.795790822811883,0.138338345279246,0.007875,0,0.887929275229644,2.3199550169037
"3",0.768645708631134,0.143032016786594,0.0175640144543072,0,0.850387827766712,3.17034284467041
"4",0.748664257071201,0.14181927235762,0.0274699267338214,0,0.81558975638995,3.98593260106036
"5",0.730810003168176,0.139078234171459,0.0371606304423104,0,0.782428321214417,4.76836092227478
"6",0.713803631904823,0.136009410135003,0.0465435726420029,0,0.750684553170289,5.51904547544507
"7",0.697271518328772,0.132890904399946,0.0555798032010848,0,0.72018948514189,6.23923496058696
"8",0.681090326507691,0.129794945199392,0.0642452898022302,0,0.690836146485791,6.93007110707275
"9",0.665248084320502,0.126761757126328,0.0725547102267871,0,0.662616738593826,7.59268784566658
"10",0.64973571254641,0.123790956612234,0.0805087478038589,0,0.635482556868086,8.22817040253466
"11",0.634545938198702,0.120881781736724,0.0881088202047569,0,0.609388744185773,8.83755914672044
"12",0.619656868252683,0.118024388881653,0.0953356778785101,0,0.584261318078028,9.42182046479846
"13",0.605066085706665,0.115225559376571,0.102197702673807,0,0.560075223485273,9.98189568828374
"14",0.590765872135124,0.112481821303897,0.108690313574806,0,0.536786673657723,10.5186823619415
"15",0.576765849789795,0.109801572724287,0.114841413706797,0,0.51439383627767,11.0330761982191
"16",0.563036056371703,0.107164062520804,0.120600697959136,0,0.492800924570204,11.5258771227893
"17",0.549530245309094,0.104553881330256,0.125890594105615,0,0.471897533393886,11.9977746561832
"18",0.536239852222882,0.101983399465243,0.130711533631121,0,0.451668146505109,12.4494428026883
"19",0.523178353539422,0.0994636394818467,0.135098348848692,0,0.432128728920129,12.8815715316085
"20",0.510295420476792,0.0969608133173895,0.13891994223532,0,0.41313965701901,13.2947111886275
"21",0.497610651395032,0.0945047763096778,0.142252271779229,0,0.394758825108595,13.6894700137361
"22",0.48508769878036,0.0920676169639064,0.14498368721709,0,0.376878930240359,14.0663489439764
"23",0.47273636007276,0.0896683524262104,0.147163397006796,0,0.35953230603543,14.4258812500119
"24",0.460509349409698,0.0872764883309931,0.1486442278651,0,0.342597444272626,14.7684786942845
"25",0.448383766951566,0.084896474780039,0.149386698195876,0,0.326045532460179,15.0945242267447
"26",0.436356449475017,0.0825350866346238,0.149398320740266,0,0.309882483021935,15.4044067097666
"27",0.424419908371454,0.0801893001403594,0.148663237933729,0,0.294096105822962,15.6985028155896
"28",0.412576129568776,0.0778630173849158,0.147206320737844,0,0.278700010692454,15.977202826282
"29",0.400815674763634,0.0755502042597139,0.145013187371006,0,0.263679946434674,16.2408827727167
"30",0.389152309330511,0.0732620966524559,0.142165311177189,0,0.249078838541856,16.4899616112585
"31",0.377595899080455,0.0709992311460235,0.138718376311901,0,0.234917852794826,16.7248794640534
"32",0.366128921481858,0.0687481761855325,0.134642306944017,0,0.221165476470244,16.9460449405236
"33",0.354721759677273,0.0664987536910336,0.129896771236052,0,0.207785681325121,17.1538306218487
"34",0.343422624864669,0.0642886824440235,0.124729160613924,0,0.194897117699658,17.3487277395484
"35",0.332244276727743,0.0621076272498502,0.119196701848515,0,0.182506648478242,17.5312343880266
"36",0.321187920868455,0.0599516674171367,0.113349503737924,0,0.170614770584953,17.7018491586116
"37",0.310220109165459,0.057801864334524,0.107137507372243,0,0.159170318421379,17.861019477033
"38",0.299316094385583,0.0556566076161636,0.100580831500738,0,0.148157922902728,18.0091773999357
"39",0.28844521261015,0.0535079352180633,0.0936869429567184,0,0.137554903443806,18.1467323033795
"40",0.277755220783429,0.051447799283466,0.0870045675506683,0,0.127591283166127,18.2743235865456
"41",0.26718277987593,0.0493890940229904,0.0802847763729026,0,0.118115651405248,18.3924392379509
"42",0.25670193744218,0.0473403773620486,0.0735672819278632,0,0.109113776058121,18.501553014009
"43",0.24627816265557,0.0452920338920749,0.0668520720304431,0,0.100552835537403,18.6021058495464
"44",0.23594369861787,0.0432736305848604,0.0603178519099224,0,0.0924798024934669,18.6945856520399
"45",0.225591512428801,0.0412164831272428,0.0537703372487552,0,0.0847732931356325,18.7793589451755
"46",0.215274180694892,0.0391862370341661,0.0474835371494814,0,0.0775200426039846,18.8568789877795
"47",0.204866139282836,0.0370980986023573,0.0412688344578467,0,0.0705983258129858,18.9274773135925
"48",0.194442029092742,0.0350351550608166,0.0354361729663467,0,0.0641087147783779,18.9915860283708
"49",0.184053069610418,0.0329981711115998,0.0300957115172648,0,0.0580672486408676,19.0496532770117
"50",0.173777133513248,0.0310106826845871,0.0253583303083435,0,0.0524979654043891,19.1021512424161
"51",0.163481933673571,0.0289798635069421,0.0210311099406189,0,0.0472808190283752,19.1494320614445
"52",0.153239505005743,0.0269871302802541,0.0172557672254442,0,0.0424612443649257,19.1918933058094
"53",0.142992638253564,0.0249798431513436,0.0139473722083315,0,0.0379758224730379,19.2298691282824
"54",0.132848117133678,0.0230304842997058,0.0111853953963009,0,0.0338588912998592,19.2637280195823
"55",0.122750460589771,0.021078220403277,0.00886018470562862,0,0.0300441561172372,19.2937721756995
"56",0.112685010978982,0.0191361994661824,0.00693224612768401,0,0.026506917562633,19.3202790932622
"57",0.102767157966807,0.0172631077775171,0.00540289662299149,0,0.0232643307421758,19.3435434240043
"58",0.0929974284473585,0.0154251441979308,0.00418806218415132,0,0.0202777784553265,19.3638212024597
"59",0.0834405603491975,0.0136543513986546,0.00324182016280631,0,0.0175413774558253,19.3813625799155
"60",0.0741647489906198,0.0119626386959201,0.00251149821437001,0,0.0150449519995741,19.3964075319151
"61",0.0652467435560407,0.0103655015816481,0.00195018960442339,0,0.0127814676873548,19.4091889996024
"62",0.0567835764235593,0.00888362026543555,0.00152030444024672,0,0.0107493092441773,19.4199383088466
"63",0.0486465569609338,0.00744409151899362,0.00116623503136867,0,0.00889370150374462,19.4288320103503
"64",0.0410803891356049,0.00617545388522986,0.000895978310375668,0,0.00726156681480332,19.4360935771651
"65",0.0342807724217294,0.00508260005002789,0.000695788997290976,0,0.00586519220117452,19.4419587693663
"66",0.0281531231402806,0.00409455296709188,0.000535365235347245,0,0.00466006968322148,19.4466188390495
"67",0.0226716275551276,0.0032273520088133,0.000404787410524827,0,0.00363014433687922,19.4502489833864
"68",0.0178605147009238,0.00248777853023957,0.000301070138863036,0,0.00276678483583,19.4530157682223
"69",0.0137115965284388,0.00186553672619559,0.000219746742781958,0,0.00205495735796093,19.4550707255802
"70",0.0102897577994623,0.00137697464211905,0.000158667544431173,0,0.00149351679252958,19.4565642423727
"71",0.00745212861543653,0.000969292885011009,0.000111691880823497,0,0.00104632008527979,19.457610562458
"72",0.00528988977997553,0.000684069234260268,7.73027692239029e-05,0,0.000720386826767876,19.4583309492848
"73",0.0036370396853178,0.000459773544812272,5.3016206159309e-05,0,0.000479637182865203,19.4588105864677
"74",0.00241673048652005,0.000301758867709441,3.49792097771295e-05,0,0.000308976532070967,19.4591195629997
"75",0.00156392156028703,0.000193455506122162,2.26823572321201e-05,0,0.00019392895073935,19.4593134919505
"76",0.00098003118348143,0.000119849848114484,1.4372082953293e-05,0,0.000117856836356354,19.4594313487868
"77",0.000588892914454508,7.12409724646246e-05,8.80708431986876e-06,0,6.86944252271592e-05,19.459500043212
"78",0.000342013558900075,4.12036157420204e-05,5.20555943711794e-06,0,3.87258638174435e-05,19.4595387690759
"79",0.000194654659401259,2.33847232362211e-05,3.00344314457554e-06,0,2.13961518867362e-05,19.4595601652278
"80",0.0001073737636688,1.28375582592046e-05,1.69795452245177e-06,0,1.14566798524948e-05,19.4595716219076
"81",5.71117962996431e-05,6.81645847552157e-06,9.29399545738877e-07,0,5.91760587087423e-06,19.4595775395135
"82",2.91444336810041e-05,3.4713703719579e-06,4.92351975851825e-07,0,2.93280080893825e-06,19.4595804723143
"83",1.44438625590587e-05,1.7219602239689e-06,2.50602712433692e-07,0,1.41185127211796e-06,19.4595818841656
"84",7.30209403813602e-06,8.69051737437798e-07,1.24571276847542e-07,0,6.92671080034337e-07,19.4595825768366
"85",3.69713127641344e-06,4.40973570174228e-07,6.28422934265382e-08,0,1.70275875242414e-07,19.4595827471125
