"","H","S1","S2","D","Total discounted utility","Cumulative utility"
"0",1,0,0,0,0.5,0.5
"1",0.848986513924279,0.141,0,0,0.96115195526629,1.46115195526629
"2",0.795790822811883,0.175568165292615,0.007875,0,0.923021951272031,2.38417390653832
"3",0.768645708631134,0.18149220425881,0.0175640144543072,0,0.885584347549069,3.26975825408739
"4",0.748664257071201,0.179945203269771,0.0274699267338214,0,0.849464152195125,4.11922240628252
"5",0.730810003168176,0.176465228986677,0.0371606304423104,0,0.814678671363749,4.93390107764626
"6",0.713803631904823,0.172570910172272,0.0465435726420029,0,0.781304233852239,5.7152053114985
"7",0.697271518328772,0.168614000359361,0.0555798032010848,0,0.749235631225394,6.4644409427239
"8",0.681090326507691,0.164685839193228,0.0642452898022302,0,0.718379340397994,7.18282028312189
"9",0.665248084320502,0.160837328490619,0.0725547102267871,0,0.688732826651588,7.87155310977348
"10",0.64973571254641,0.157067977609225,0.0805087478038589,0,0.660243785697837,8.53179689547132
"11",0.634545938198702,0.153376817818202,0.0881088202047569,0,0.632863849634877,9.16466074510619
"12",0.619656868252683,0.149751377625374,0.0953356778785101,0,0.606513989641982,9.77117473474818
"13",0.605066085706665,0.146200237957624,0.102197702673807,0,0.581167472370899,10.3523422071191
"14",0.590765872135124,0.142719000085885,0.108690313574806,0,0.556777010948217,10.9091192180673
"15",0.576765849789795,0.139318298466285,0.114841413706797,0,0.533339499343203,11.4424587174105
"16",0.563036056371703,0.135971852199601,0.120600697959136,0,0.510752986690037,11.9532117041005
"17",0.549530245309094,0.132660130774206,0.125890594105615,0,0.488902276538492,12.442113980639
"18",0.536239852222882,0.129398784754099,0.130711533631121,0,0.467771795989505,12.9098857766285
"19",0.523178353539422,0.126201772617895,0.135098348848692,0,0.447377112630655,13.3572628892592
"20",0.510295420476792,0.123026301543442,0.13891994223532,0,0.427571485870805,13.78483437513
"21",0.497610651395032,0.119910168160449,0.142252271779229,0,0.408415475102164,14.1932498502322
